Zondag 6 september 2009,Engeland,Nederland,2,1
Maandag 7 september 2009,Duitsland,Noorwegen,3,1
Donderdag 10 september 2009,Engeland,Duitsland,2,6
Woensdag 16 augustus 2006,Estland,N Macedonië,0,1
Woensdag 16 augustus 2006,België,Kazachstan,0,0
Woensdag 16 augustus 2006,Faeröer Eil.,Georgië,0,6
Zaterdag 2 september 2006,Tsjechië,Wales,2,1
Zaterdag 2 september 2006,Duitsland,Ierland,1,0
Zaterdag 2 september 2006,Slowakije,Cyprus,6,1
Zaterdag 2 september 2006,Engeland,Andorra,5,0
Zaterdag 2 september 2006,Estland,Israël,0,1
Zaterdag 2 september 2006,Letland,Zweden,0,1
Zaterdag 2 september 2006,Noord-Ierland,IJsland,0,3
Zaterdag 2 september 2006,Spanje,Liechtenstein,4,0
Zaterdag 2 september 2006,Polen,Finland,1,3
Zaterdag 2 september 2006,Servië,Azerbeidzjan,1,0
Zaterdag 2 september 2006,Wit-Rusland,Albanië,2,2
Zaterdag 2 september 2006,Luxemburg,Nederland,0,1
Zaterdag 2 september 2006,Roemenië,Bulgarije,2,2
Zaterdag 2 september 2006,Georgië,Frankrijk,0,3
Zaterdag 2 september 2006,Schotland,Faeröer Eil.,6,0
Zaterdag 2 september 2006,Italië,Litouwen,1,1
Zaterdag 2 september 2006,Hongarije,Noorwegen,1,4
Zaterdag 2 september 2006,Malta,Bosnië-Herzeg.,2,5
Zaterdag 2 september 2006,Moldavië,Griekenland,0,1
Woensdag 6 september 2006,San Marino,Duitsland,0,13
Woensdag 6 september 2006,Slowakije,Tsjechië,0,3
Woensdag 6 september 2006,Rusland,Kroatië,0,0
Woensdag 6 september 2006,Israël,Andorra,4,1
Woensdag 6 september 2006,N Macedonië,Engeland,0,1
Woensdag 6 september 2006,Zweden,Liechtenstein,3,1
Woensdag 6 september 2006,Noord-Ierland,Spanje,3,2
Woensdag 6 september 2006,IJsland,Denemarken,0,2
Woensdag 6 september 2006,Polen,Servië,1,1
Woensdag 6 september 2006,Finland,Portugal,1,1
Woensdag 6 september 2006,Azerbeidzjan,Kazachstan,1,1
Woensdag 6 september 2006,Armenië,België,0,1
Woensdag 6 september 2006,Nederland,Wit-Rusland,3,0
Woensdag 6 september 2006,Bulgarije,Slovenië,3,0
Woensdag 6 september 2006,Albanië,Roemenië,0,2
Woensdag 6 september 2006,Frankrijk,Italië,3,1
Woensdag 6 september 2006,Litouwen,Schotland,1,2
Woensdag 6 september 2006,Oekraïne,Georgië,3,2
Woensdag 6 september 2006,Turkije,Malta,2,0
Woensdag 6 september 2006,Noorwegen,Moldavië,2,0
Woensdag 6 september 2006,Bosnië-Herzeg.,Hongarije,1,3
Zaterdag 7 oktober 2006,Wales,Slowakije,1,5
Zaterdag 7 oktober 2006,Faeröer Eil.,Litouwen,0,1
Zaterdag 7 oktober 2006,Rusland,Israël,1,1
Zaterdag 7 oktober 2006,Kazachstan,Polen,0,1
Zaterdag 7 oktober 2006,Tsjechië,San Marino,7,0
Zaterdag 7 oktober 2006,Engeland,N Macedonië,0,0
Zaterdag 7 oktober 2006,Armenië,Finland,0,0
Zaterdag 7 oktober 2006,Schotland,Frankrijk,1,0
Zaterdag 7 oktober 2006,Moldavië,Bosnië-Herzeg.,2,2
Zaterdag 7 oktober 2006,Cyprus,Ierland,5,2
Zaterdag 7 oktober 2006,Roemenië,Wit-Rusland,3,1
Zaterdag 7 oktober 2006,Hongarije,Turkije,0,1
Zaterdag 7 oktober 2006,Denemarken,Noord-Ierland,0,0
Zaterdag 7 oktober 2006,Letland,IJsland,4,0
Zaterdag 7 oktober 2006,Zweden,Spanje,2,0
Zaterdag 7 oktober 2006,Bulgarije,Nederland,1,1
Zaterdag 7 oktober 2006,Kroatië,Andorra,7,0
Zaterdag 7 oktober 2006,Servië,België,1,0
Zaterdag 7 oktober 2006,Griekenland,Noorwegen,1,0
Zaterdag 7 oktober 2006,Slovenië,Luxemburg,2,0
Zaterdag 7 oktober 2006,Italië,Oekraïne,2,0
Zaterdag 7 oktober 2006,Portugal,Azerbeidzjan,3,0
Woensdag 11 oktober 2006,Andorra,N Macedonië,0,3
Woensdag 11 oktober 2006,Rusland,Estland,2,0
Woensdag 11 oktober 2006,Kazachstan,Finland,0,2
Woensdag 11 oktober 2006,Wit-Rusland,Slovenië,4,2
Woensdag 11 oktober 2006,Kroatië,Engeland,2,0
Woensdag 11 oktober 2006,Oekraïne,Schotland,2,0
Woensdag 11 oktober 2006,Malta,Hongarije,2,1
Woensdag 11 oktober 2006,Turkije,Moldavië,5,0
Woensdag 11 oktober 2006,Georgië,Italië,1,3
Woensdag 11 oktober 2006,IJsland,Zweden,1,2
Woensdag 11 oktober 2006,Bosnië-Herzeg.,Griekenland,0,4
Woensdag 11 oktober 2006,Liechtenstein,Denemarken,0,4
Woensdag 11 oktober 2006,Servië,Armenië,3,0
Woensdag 11 oktober 2006,Luxemburg,Bulgarije,0,1
Woensdag 11 oktober 2006,Ierland,Tsjechië,1,1
Woensdag 11 oktober 2006,Polen,Portugal,2,1
Woensdag 11 oktober 2006,Nederland,Albanië,2,1
Woensdag 11 oktober 2006,Slowakije,Duitsland,1,4
Woensdag 11 oktober 2006,België,Azerbeidzjan,3,0
Woensdag 11 oktober 2006,Wales,Cyprus,3,1
Woensdag 11 oktober 2006,Noord-Ierland,Letland,1,0
Woensdag 11 oktober 2006,Frankrijk,Faeröer Eil.,5,0
Woensdag 15 november 2006,N Macedonië,Rusland,0,2
Woensdag 15 november 2006,Israël,Kroatië,3,4
Woensdag 15 november 2006,Finland,Armenië,1,0
Woensdag 15 november 2006,Cyprus,Duitsland,1,1
Woensdag 15 november 2006,Ierland,San Marino,5,0
Woensdag 15 november 2006,België,Polen,0,1
Woensdag 15 november 2006,Portugal,Kazachstan,3,0
Woensdag 7 februari 2007,San Marino,Ierland,1,2
Zaterdag 24 maart 2007,Kazachstan,Servië,2,1
Zaterdag 24 maart 2007,Ierland,Wales,1,0
Zaterdag 24 maart 2007,Faeröer Eil.,Oekraïne,0,2
Zaterdag 24 maart 2007,Schotland,Georgië,2,1
Zaterdag 24 maart 2007,Albanië,Slovenië,0,0
Zaterdag 24 maart 2007,Luxemburg,Wit-Rusland,1,2
Zaterdag 24 maart 2007,Moldavië,Malta,1,1
Zaterdag 24 maart 2007,Polen,Azerbeidzjan,5,0
Zaterdag 24 maart 2007,Litouwen,Frankrijk,0,1
Zaterdag 24 maart 2007,Cyprus,Slowakije,1,3
Zaterdag 24 maart 2007,Estland,Rusland,0,2
Zaterdag 24 maart 2007,Israël,Engeland,0,0
Zaterdag 24 maart 2007,Noorwegen,Bosnië-Herzeg.,1,2
Zaterdag 24 maart 2007,Kroatië,N Macedonië,2,1
Zaterdag 24 maart 2007,Liechtenstein,Noord-Ierland,1,4
Zaterdag 24 maart 2007,Griekenland,Turkije,1,4
Zaterdag 24 maart 2007,Nederland,Roemenië,0,0
Zaterdag 24 maart 2007,Tsjechië,Duitsland,1,2
Zaterdag 24 maart 2007,Spanje,Denemarken,2,1
Zaterdag 24 maart 2007,Portugal,België,4,0
Woensdag 28 maart 2007,Azerbeidzjan,Finland,1,0
Woensdag 28 maart 2007,Bulgarije,Albanië,0,0
Woensdag 28 maart 2007,Oekraïne,Litouwen,1,0
Woensdag 28 maart 2007,Tsjechië,Cyprus,1,0
Woensdag 28 maart 2007,Roemenië,Luxemburg,3,0
